,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset
BANK OF THE PHILIPPINE ISLAN,1,3/31/23,1,7.76,-0.0102,0.0049,48.85,17.74,-186124.98,-2.49,10.84,32.55,67.96,38.44,4.1
BANK OF THE PHILIPPINE ISLAN,2,6/30/23,1,8.13,-0.0049,0.0615,48.33,18.33,-182366.83,0.00,0,29.76,70.7,38.16,3.86
BDO UNIBANK INC,4,12/29/16,1,6.53,-0.1034,0.0209,25.33,14.17,-358451,-7.98,7.02,32.5,52.77,19.54,3.83
BDO UNIBANK INC,1,3/31/17,0,6.49,0.0689,0.0491,29.6,13.54,-297299,-12.01,6.33,36.79,54.07,23.26,4.31
BDO UNIBANK INC,2,6/30/17,0,6.54,0.0727,0.0544,29.17,14.03,-327281,0.00,0,45.38,55.1,21.64,5.1
BDO UNIBANK INC,3,9/29/17,1,7.89,0.0419,0.054,31.93,14.9,-314364,0.00,0,43.74,55.76,22.43,4.89
BDO UNIBANK INC,4,12/29/17,1,7.08,0.0474,0.2548,24.65,13.38,-311438,0.00,0,50.49,56.01,17.77,5.41
BDO UNIBANK INC,1,3/28/18,0,6.94,-0.0676,-0.1524,28.81,13.42,-324731,0.00,0,47.37,56.75,20.37,5
BDO UNIBANK INC,2,6/29/18,1,6.54,-0.0985,-0.0971,30.14,13.79,-299799,0.00,0,47.57,58.28,21.75,5.08
BDO UNIBANK INC,3,9/28/18,0,6.96,0.0116,-0.0454,32.82,14.2,-319550,0.00,0,43.77,61.39,26.98,4.75
BDO UNIBANK INC,4,12/28/18,1,6.71,0.026,0.0918,30.48,15.49,-247830,0.00,0,54.86,63.33,22.92,6.16
BDO UNIBANK INC,1,3/29/19,0,6.94,0.0609,0.0229,31.85,16.26,-238222,0.00,0,50.39,65.5,23.7,5.77
BDO UNIBANK INC,2,6/28/19,1,7.29,0.0099,0.0463,33.71,16.93,-232377,-2.95,8.89,49,67.96,25.91,5.77
BDO UNIBANK INC,3,9/30/19,1,8.03,-0.0276,0.0214,35.19,17.26,-222539,0.00,0,51.16,69.19,25.49,5.95
BDO UNIBANK INC,4,12/27/19,1,7.62,0.0047,0.1049,28.34,16.95,-258478,-1.24,13.11,53.37,69.49,19.18,6.04
BDO UNIBANK INC,1,3/31/20,0,6.21,-0.3191,-0.3449,-0.5,12.76,-336747,0.30,10.54,48.78,68.57,-9.36,5.4
BDO UNIBANK INC,2,6/30/20,0,5.76,0.1666,-0.0531,35.88,12.57,-296586,-4.49,12.2,51.84,70.69,26.95,5.93
BDO UNIBANK INC,3,9/30/20,0,5.88,-0.0553,-0.1199,48.86,12.27,-227331,0.00,0,56.34,73.47,33.62,6.56
BDO UNIBANK INC,4,12/29/20,1,6.2,0.2175,0.2383,28.26,12.23,-335870,-3.01,10.46,51.7,74.91,21.92,6.1
BDO UNIBANK INC,1,3/31/21,1,6.43,-0.0976,-0.0449,27.83,15.58,-270674,-5.14,12.08,49.44,77.14,23.6,5.89
BDO UNIBANK INC,2,6/30/21,1,6.21,0.0712,0.1098,29.89,14.63,-255863,-1.49,11.93,49.31,78.97,23.01,5.88
BDO UNIBANK INC,3,9/30/21,0,6.57,0.0074,-0.023,44.87,13.87,-227585,3.92,10.56,51,79.39,30.86,5.98
BDO UNIBANK INC,4,12/31/21,1,7,0.0244,0.0913,29.65,14.04,-239290,-3.42,9.88,56.18,80.39,23.2,6.58
BDO UNIBANK INC,1,3/31/22,1,6.84,0.0113,0.0994,30.04,14.5,-270409,3.00,12.49,49.28,80.92,22.97,5.61
BDO UNIBANK INC,2,6/30/22,0,7.3,-0.1455,-0.1673,34.84,15.49,-283543,11.04,13.55,41.17,83.11,27.89,4.74
BDO UNIBANK INC,3,9/30/22,1,7.29,-0.0673,0.009,60.08,16.81,-315254,0.00,0,45.99,86.08,46.2,5.21
BDO UNIBANK INC,4,12/29/22,0,8.8,0.1438,-0.052,34.82,17.94,-334245,12.10,10.75,37.97,88.81,26.48,4.42
BDO UNIBANK INC,1,3/31/23,1,9.4,-0.0102,0.2157,36.61,19.37,-289655,6.99,11.13,36.39,91.39,28.61,4.29
BDO UNIBANK INC,2,6/30/23,1,9.87,-0.0049,0.0716,35.87,19.76,-327405,0.00,0,36.27,93.83,27.66,4.25
DMCI HOLDINGS INC,4,12/29/16,1,1.21,-0.1034,0.0995,34.89,30.32,15696.19,3.64,13.71,46.68,5.37,21.6,24.35
DMCI HOLDINGS INC,1,3/31/17,0,1.43,0.0689,-0.1403,29.67,32.1,22933.46,4.26,11.36,45.51,5.27,19.65,24.63
DMCI HOLDINGS INC,2,6/30/17,1,1.51,0.0727,0.2368,27.47,31.83,22496.82,0.00,0,44.54,5.6,19.06,24.11
DMCI HOLDINGS INC,3,9/29/17,1,1.32,0.0419,0.1064,17.36,30.46,14184.91,0.00,0,42.21,5.75,14.26,23
DMCI HOLDINGS INC,4,12/29/17,0,1.2,0.0474,-0.0769,32.34,30.26,13226.9,0.00,0,45.01,5.59,20.93,23.34
DMCI HOLDINGS INC,1,3/28/18,0,1.14,-0.0676,-0.1556,24.57,30.13,20164.9,0.00,0,38.04,5.95,19.85,21.44
DMCI HOLDINGS INC,2,6/29/18,0,1.23,-0.0985,-0.1365,13.47,24.11,19324.95,0.00,0,38.29,6.12,11.9,21.97
DMCI HOLDINGS INC,3,9/28/18,1,1.34,0.0116,0.0838,17.19,23.86,26039.37,0.00,0,42.77,5.92,13.45,22.76
DMCI HOLDINGS INC,4,12/28/18,1,1.19,0.026,0.123,17.96,19.85,24811.58,0.00,0,42.66,6.13,13.94,22.48
DMCI HOLDINGS INC,1,3/29/19,0,1.01,0.0609,-0.061,20.87,18.59,30250.37,0.00,0,47.39,5.94,15.32,24.17
DMCI HOLDINGS INC,2,6/28/19,0,0.84,0.0099,-0.1417,13.61,19.05,30785.66,0.54,14.05,49.49,6.14,12.79,25.39
DMCI HOLDINGS INC,3,9/30/19,0,0.66,-0.0276,-0.1932,18.14,19.32,25445.87,0.00,0,45.75,6.21,5.68,23.43
DMCI HOLDINGS INC,4,12/27/19,0,0.55,0.0047,-0.2046,2.65,15.68,31820.92,-8.47,24.76,55.3,5.77,4.36,25.34
DMCI HOLDINGS INC,1,3/31/20,0,0.51,-0.3191,-0.4297,16.61,11.79,38104.89,-0.31,16.99,54.33,5.88,12.06,26.43
DMCI HOLDINGS INC,2,6/30/20,0,0.53,0.1666,0.0875,11.88,10.38,35673.07,8.04,15.78,52.58,6.02,10.4,25.71
DMCI HOLDINGS INC,3,9/30/20,1,0.62,-0.0553,-0.0244,10.05,8.36,33039.32,0.00,0,51.34,6.15,8.19,25.42
DMCI HOLDINGS INC,4,12/29/20,1,0.67,0.2175,0.415,21.9,15.01,32156.31,11.49,15.9,51.84,5.99,17.78,24
DMCI HOLDINGS INC,1,3/31/21,1,0.71,-0.0976,-0.0194,20.85,19.62,36398.46,4.37,19.13,53.08,6.38,17.58,25.94
DMCI HOLDINGS INC,2,6/30/21,1,0.79,0.0712,0.1333,20.32,22.75,31687.26,3.02,20.36,50.53,6.68,15.15,25.47
DMCI HOLDINGS INC,3,9/30/21,1,0.83,0.0074,0.1288,27.51,29.03,34723.09,11.36,24.02,48.75,6.61,17.37,24.66
DMCI HOLDINGS INC,4,12/31/21,1,0.94,0.0244,0.0859,40.9,41.73,24491.2,8.12,31.07,43.4,7.46,25.73,22.91
DMCI HOLDINGS INC,1,3/31/22,1,1.08,0.0113,0.1712,35.11,47.51,16454.77,11.44,37.82,41.97,7.66,23.95,22.94
DMCI HOLDINGS INC,2,6/30/22,1,1.28,-0.1455,-0.0233,33.78,50.59,12110.49,10.21,38.09,38.65,8.21,22.35,21.99
DMCI HOLDINGS INC,3,9/30/22,1,1.36,-0.0673,0.1213,0,0,0,0.00,0,0,NA,17.66,0
DMCI HOLDINGS INC,4,12/29/22,1,1.3,0.1438,0.2133,36.22,0,17267.5,0.00,0,40.8,7.65,23.06,20.74
DMCI HOLDINGS INC,1,3/31/23,0,1.02,-0.0102,-0.0417,33.73,0,13506.77,0.00,0,36.53,8.27,22.3,20.59
DMCI HOLDINGS INC,2,6/30/23,0,1.19,-0.0049,-0.2122,18.14,0,10872.35,0.00,0,33.78,8.58,18.23,19.72
EMPERADOR INC,4,12/29/16,1,0,-0.1034,-0.0345,20.77,19.25,13111.71,1.59,10.02,48.77,3.15,16.68,25.66
EMPERADOR INC,1,3/31/17,0,0,0.0689,0,17.95,17.28,17975.59,2.18,7.36,51.99,3.23,13.16,28.2
EMPERADOR INC,2,6/30/17,0,0,0.0727,0,22.04,18,18876.22,0.00,0,52.21,3.3,18.45,28.24
EMPERADOR INC,3,9/29/17,0,0,0.0419,0,17.34,14.93,27967.55,0.00,0,65.38,3.56,12.44,34.2
EMPERADOR INC,4,12/29/17,0,0,0.0474,0,19.81,14.82,21745.19,0.00,0,55.23,3.77,16.27,29.03
EMPERADOR INC,1,3/28/18,1,0,-0.0676,0,19.55,15.25,1560.14,0.00,0,15.83,3.73,16.45,8.37
EMPERADOR INC,2,6/29/18,1,0,-0.0985,0,20.83,15.16,27937.69,0.00,0,55.27,3.88,17.61,29.63
EMPERADOR INC,3,9/28/18,0,0,0.0116,0,18.88,15.66,31836.66,0.00,0,64,3.78,9.23,33.33
EMPERADOR INC,4,12/28/18,0,0,0.026,0,20.12,15.4,23720.81,0.00,0,52.53,4.01,15.76,27.84
EMPERADOR INC,1,3/29/19,0,0,0.0609,0,17.02,15.35,4691.51,0.00,0,17.44,4.01,14.51,9.42
EMPERADOR INC,2,6/28/19,0,0,0.0099,0,22.03,15.52,26128.56,1.09,8.69,49.49,4.15,16.33,26.9
EMPERADOR INC,3,9/30/19,1,0,-0.0276,0,14.34,14.9,31501.17,0.00,0,60.64,4.05,8.2,31.13
EMPERADOR INC,4,12/27/19,0,0,0.0047,0,17.47,13.93,26711.07,4.98,7.02,54.52,4.15,13.68,30.13
EMPERADOR INC,1,3/31/20,1,0,-0.3191,0,20.96,14.78,28158.49,4.80,7.18,52.99,4.15,17.18,29.15
EMPERADOR INC,2,6/30/20,0,0,0.1666,0,24.27,15.15,27672.67,4.96,6.25,53.13,4.18,19.67,29.51
EMPERADOR INC,3,9/30/20,1,0,-0.0553,0,14.72,15.31,27673.27,0.00,0,52.38,4.22,11.42,28.82
EMPERADOR INC,4,12/29/20,0,0,0.2175,0,21.78,16.37,24815.62,4.12,6.66,51.33,4.1,17.26,27.77
EMPERADOR INC,1,3/31/21,1,0,-0.0976,0,33.9,19.38,26303.13,5.03,6.41,47.05,4.39,22.63,26.49
EMPERADOR INC,2,6/30/21,0,0,0.0712,0,22.47,18.77,25125.31,3.73,4.57,45.52,4.49,16.7,25.98
EMPERADOR INC,3,9/30/21,0,0,0.0074,0,20.64,18.96,16597.3,3.73,4.15,32.95,4.94,15.43,20.18
EMPERADOR INC,4,12/31/21,0,0,0.0244,0,21.38,18.6,13982.01,3.92,6.16,33.32,5.11,17.01,20.29
EMPERADOR INC,1,3/31/22,0,0,0.0113,0,24.84,17.25,11834.11,1.86,4.34,29.63,5.26,19.97,18.46
EMPERADOR INC,2,6/30/22,1,0,-0.1455,0,17.58,16.27,11460.88,1.32,4.18,27.58,5.45,13.35,17.61
EMPERADOR INC,3,9/30/22,1,0,-0.0673,0,15.97,14.92,11379.86,0.00,0,27.54,5.55,14.29,17.28
EMPERADOR INC,4,12/29/22,0,0,0.1438,0,19.7,14.93,10684.58,0.15,3.9,28.59,5.75,14.87,17.73
EMPERADOR INC,1,3/31/23,1,0,-0.0102,0,21.03,14.09,14889.32,1.51,3.65,27.91,5.67,15.56,18.05
EMPERADOR INC,2,6/30/23,1,0,-0.0049,0,19.1,14.18,16197.46,0.00,0,27.25,5.84,12.84,17.98
FIRST GEN CORPORATION,4,12/29/16,0,0.68,-0.1034,-0.1218,32.88,30.52,2020.16,21.72,32.93,125.92,0.44,9.63,50.02
FIRST GEN CORPORATION,1,3/31/17,0,0.64,0.0689,-0.0477,26.76,30.54,2024.31,0.95,36.66,134.74,0.44,3.93,52.11
FIRST GEN CORPORATION,2,6/30/17,0,0.61,0.0727,-0.0979,22.13,27.7,1729.91,0.00,0,117.5,0.49,10.03,48.97
FIRST GEN CORPORATION,3,9/29/17,0,0.52,0.0419,0.0011,22.64,26.23,1805.87,0.00,0,101.97,0.5,7.81,45.68
FIRST GEN CORPORATION,4,12/29/17,0,0.56,0.0474,-0.1015,25.78,25.02,1686.6,0.00,0,100.64,0.49,8.45,45.25
FIRST GEN CORPORATION,1,3/28/18,1,0.52,-0.0676,0,24.34,25.42,1581.16,0.00,0,96.52,0.49,9.17,44.34
FIRST GEN CORPORATION,2,6/29/18,0,0.6,-0.0985,-0.1494,26.67,27.13,1576.27,0.00,0,97.99,0.47,13.25,44.55
FIRST GEN CORPORATION,3,9/28/18,1,0.7,0.0116,0.1591,24.81,27.92,1650.78,0.00,0,97.88,0.5,13.58,43.93
FIRST GEN CORPORATION,4,12/28/18,1,0.72,0.026,0.1921,29.71,29.5,1508.12,0.00,0,89.89,0.51,15.19,41.99
FIRST GEN CORPORATION,1,3/29/19,1,0.87,0.0609,0.0911,26.31,30.64,1434.54,0.00,0,82.08,0.53,14.72,39.47
FIRST GEN CORPORATION,2,6/28/19,1,0.82,0.0099,0.2294,22.63,30.13,1310.57,44.09,32.55,80.59,0.55,10.76,39.74
FIRST GEN CORPORATION,3,9/30/19,0,0.8,-0.0276,-0.0821,22.09,28.33,1279.83,0.00,0,74.65,0.57,14.17,37.13
FIRST GEN CORPORATION,4,12/27/19,0,0.8,0.0047,-0.0183,29.05,26.37,1176.63,38.31,45.25,72.02,0.59,13.53,36.6
FIRST GEN CORPORATION,1,3/31/20,1,1.02,-0.3191,-0.3168,27.52,24.27,1142,13.96,28.4,69.55,0.6,14.81,35.49
FIRST GEN CORPORATION,2,6/30/20,1,1.02,0.1666,0.4848,26.85,23.43,993.18,7.00,29.03,70.91,0.63,14.86,37.16
FIRST GEN CORPORATION,3,9/30/20,1,1.01,-0.0553,-0.0469,32.51,24.24,1133.8,0.00,0,66.29,0.65,17.07,34.33
FIRST GEN CORPORATION,4,12/29/20,0,1.2,0.2175,0.2056,31.77,24.78,1017.26,12.60,24.73,63.57,0.64,17.4,34.22
FIRST GEN CORPORATION,1,3/31/21,1,1.12,-0.0976,0.0693,21.12,24.06,917.01,9.86,24.75,63.76,0.64,10.94,33.59
FIRST GEN CORPORATION,2,6/30/21,0,1.25,0.0712,-0.0033,22.2,23.91,845.96,13.80,23.24,61.83,0.64,12.13,33.29
FIRST GEN CORPORATION,3,9/30/21,1,0.99,0.0074,0.1317,15.66,20.65,883.91,13.83,25,58.4,0.65,7.99,31.55
FIRST GEN CORPORATION,4,12/31/21,0,0.91,0.0244,-0.1797,21.28,19.29,877.01,1.88,24.9,57.97,0.67,11,31.68
FIRST GEN CORPORATION,1,3/31/22,0,0.69,0.0113,-0.0521,17.4,19.54,729.11,8.22,41.27,58.02,0.65,8.47,30.93
FIRST GEN CORPORATION,2,6/30/22,0,0.7,-0.1455,-0.3598,20.19,21.15,769.4,10.38,47.99,59.41,0.61,9.05,31.9
FIRST GEN CORPORATION,3,9/30/22,1,0.64,-0.0673,-0.0367,21.38,22.78,777.18,0.00,0,54.67,0.65,10.99,30.1
FIRST GEN CORPORATION,4,12/29/22,0,0.62,0.1438,0.0405,26.7,24.13,542.9,18.74,53.25,52,0.68,13.68,28.98
FIRST GEN CORPORATION,1,3/31/23,0,0.7,-0.0102,-0.0201,24.21,25.65,546.38,21.55,50.82,50.35,0.69,12.16,28.52
FIRST GEN CORPORATION,2,6/30/23,1,0.71,-0.0049,0.1241,24.68,26.27,534.05,0.00,0,49.23,0.7,13.31,28.23
GLOBE TELECOM INC,4,12/29/16,0,1.66,-0.1034,-0.2603,20.51,43.51,99872.78,-9.12,9.8,168.22,462.39,11.45,42.78
GLOBE TELECOM INC,1,3/31/17,1,1.73,0.0689,0.3466,20.94,42.3,114061.74,-8.22,9.64,189.41,469.54,12.84,46.82
GLOBE TELECOM INC,2,6/30/17,0,1.66,0.0727,0.0079,18.71,42.3,119025.9,0.00,0,190.25,483.15,14.45,47.29
GLOBE TELECOM INC,3,9/29/17,0,1.45,0.0419,0.001,19.13,42.41,120306.49,0.00,0,197.62,479.12,5.97,47.35
GLOBE TELECOM INC,4,12/29/17,0,1.33,0.0474,-0.0732,23.48,45.68,121545.71,0.00,0,196.36,468.53,12.68,46.67
GLOBE TELECOM INC,1,3/28/18,0,1.44,-0.0676,-0.1463,24.4,47.78,123398.04,0.00,0,198.67,485.38,14.1,47.87
GLOBE TELECOM INC,2,6/29/18,1,2.03,-0.0985,-0.0506,23.3,49.81,121953.46,0.00,0,192.53,501.48,12.97,47.66
GLOBE TELECOM INC,3,9/28/18,1,1.71,0.0116,0.4286,18.93,49.94,125055.51,0.00,0,202.73,527.47,9.73,49.51
GLOBE TELECOM INC,4,12/28/18,0,1.64,0.026,-0.1364,29.01,53.6,125168.97,0.00,0,184.29,555.3,16.57,47.79
GLOBE TELECOM INC,1,3/29/19,0,1.9,0.0609,0.02,24.65,53.27,123626.54,0.00,0,171.66,569.3,13,45.93
GLOBE TELECOM INC,2,6/28/19,1,1.58,0.0099,0.1672,24.17,53.63,123645.98,6.06,16.21,166.49,586.74,13.45,44.99
GLOBE TELECOM INC,3,9/30/19,0,1.74,-0.0276,-0.191,19.99,53.95,131228.26,0.00,0,171.73,585.9,10.61,45.85
GLOBE TELECOM INC,4,12/27/19,1,2.4,0.0047,0.1038,27.99,51.2,133995.31,3.23,15.71,175.57,610.49,15.98,46.68
GLOBE TELECOM INC,1,3/31/20,1,2.22,-0.3191,-0.0446,22.44,48.32,139354.32,2.20,14.05,180.84,614.26,13.03,47.44
GLOBE TELECOM INC,2,6/30/20,0,2.35,0.1666,0.0725,21.18,45.46,135314.93,-6.83,13.44,194.32,622.89,10.76,48.84
GLOBE TELECOM INC,3,9/30/20,1,1.89,-0.0553,0.0048,9.77,40.73,149808.71,0.00,0,204.48,595.64,6.62,49.83
GLOBE TELECOM INC,4,12/29/20,0,1.93,0.2175,-0.024,21.01,35.7,158948.83,-3.89,12,197.27,633.22,17.05,49.14
GLOBE TELECOM INC,1,3/31/21,1,1.77,-0.0976,-0.0739,23.06,36.73,174723.25,-7.55,12.71,213.34,638.37,13.67,50.43
GLOBE TELECOM INC,2,6/30/21,0,2.84,0.0712,-0.0213,21.04,38.59,208770.18,-3.42,7.87,276.3,574.99,11.77,53.25
GLOBE TELECOM INC,3,9/30/21,1,3.06,0.0074,0.6217,11.16,33.24,205693.72,-12.11,7.23,201,827.03,13.59,50.15
GLOBE TELECOM INC,4,12/31/21,1,2.27,0.0244,0.1133,18.81,30.07,225749.27,-16.58,9.22,193.55,899.94,31.33,49.96
GLOBE TELECOM INC,1,3/31/22,0,2.37,0.0113,-0.2354,20.83,29.31,248282.99,-19.46,10.17,210.33,907.77,13.72,52.33
GLOBE TELECOM INC,2,6/30/22,1,2.25,-0.1455,-0.1071,23.46,31.44,269229.43,-17.86,11.69,221.3,940.9,15.87,53.81
GLOBE TELECOM INC,3,9/30/22,0,2.12,-0.0673,-0.1049,51.14,38.29,269402.47,0.00,0,188.44,"1,043.99",18.08,51.73
GLOBE TELECOM INC,4,12/29/22,0,1.8,0.1438,0.0739,26.9,39.17,281323.84,-3.19,20.87,189.78,"1,073.41",16.11,51.17
GLOBE TELECOM INC,1,3/31/23,0,1.67,-0.0102,-0.145,25.09,40.1,301320.05,-0.65,22.34,205.2,"1,088.66",15.9,53.32
GLOBE TELECOM INC,2,6/30/23,0,1.76,-0.0049,-0.0714,19.96,38.68,312956.71,0.00,0,204.58,"1,099.44",11.22,53.27
GT CAPITAL HOLDINGS INC,4,12/29/16,0,2.33,-0.1034,-0.1181,8.22,12.57,57326,-7.44,6.6,59.23,596.61,6.71,31.34
GT CAPITAL HOLDINGS INC,1,3/31/17,0,2.55,0.0689,-0.0984,10.67,11.66,67780,-5.74,6.77,49.96,667.93,7.32,28.47
GT CAPITAL HOLDINGS INC,2,6/30/17,0,2.34,0.0727,0.0568,8.73,11.34,64082,0.00,0,49.69,685.12,6.11,28.31
GT CAPITAL HOLDINGS INC,3,9/29/17,0,2.47,0.0419,-0.0405,5.77,14.52,64974,0.00,0,50.32,672.57,5.08,28.41
GT CAPITAL HOLDINGS INC,4,12/29/17,1,2.4,0.0474,0.1128,8.73,13.84,64657,0.00,0,61.72,784.57,8.91,32.93
GT CAPITAL HOLDINGS INC,1,3/28/18,0,2.07,-0.0676,-0.0952,7.04,10.86,114654,0.00,0,74.18,697.93,6.54,36.91
GT CAPITAL HOLDINGS INC,2,6/29/18,0,1.87,-0.0985,-0.2216,6.78,9.68,115011,0.00,0,71.25,730.12,7.14,35.97
GT CAPITAL HOLDINGS INC,3,9/28/18,0,2.17,0.0116,-0.0989,4.79,8.68,109985,0.00,0,70.56,719.62,5.11,35.67
GT CAPITAL HOLDINGS INC,4,12/28/18,1,1.95,0.026,0.189,7.32,7.87,108229,0.00,0,68.23,748.5,8.33,34.82
GT CAPITAL HOLDINGS INC,1,3/29/19,0,1.95,0.0609,-0.0446,9.28,8.39,112176,0.00,0,68.78,714.24,7.23,34.96
GT CAPITAL HOLDINGS INC,2,6/28/19,0,1.94,0.0099,0.0091,9.7,9.14,110575,-2.70,7.79,68.31,811.27,14.5,34.89
GT CAPITAL HOLDINGS INC,3,9/30/19,0,1.94,-0.0276,-0.1043,4.26,9.27,107432,0.00,0,65.64,818.69,9.35,34.74
GT CAPITAL HOLDINGS INC,4,12/27/19,1,1.35,0.0047,0.0059,7.95,9.02,99605,-11.81,16.62,67.4,815.01,7.1,34.72
GT CAPITAL HOLDINGS INC,1,3/31/20,0,1.3,-0.3191,-0.5195,-2.02,5.87,120042,-20.68,10.11,73.94,836.82,1.71,37.7
GT CAPITAL HOLDINGS INC,2,6/30/20,0,1.16,0.1666,0.116,6.97,4,115776,-11.01,8.17,70.76,831.02,1.56,36.05
GT CAPITAL HOLDINGS INC,3,9/30/20,0,1.45,-0.0553,-0.1493,6.56,4.34,122685,0.00,0,74.67,845.78,7.33,37.28
GT CAPITAL HOLDINGS INC,4,12/29/20,1,1.43,0.2175,0.514,7.82,4.51,109364,-5.53,7.23,67.94,856.84,9.97,35.23
GT CAPITAL HOLDINGS INC,1,3/31/21,0,1.56,-0.0976,-0.1077,7.98,6.1,110845,2.51,8.65,67.92,881.89,7.06,34.92
GT CAPITAL HOLDINGS INC,2,6/30/21,1,1.29,0.0712,0.1628,5.81,6.07,115635,-6.27,10.27,68.98,893.06,5.36,35.59
GT CAPITAL HOLDINGS INC,3,9/30/21,0,1.33,0.0074,-0.1598,1.84,4.85,115266,1.49,7.84,68.94,895.68,5.31,35.54
GT CAPITAL HOLDINGS INC,4,12/31/21,1,1.32,0.0244,0.0588,7.04,4.99,112008,-5.32,7.95,67.29,898.93,8.7,34.9
GT CAPITAL HOLDINGS INC,1,3/31/22,1,1.37,0.0113,0.0222,5.12,4.79,108086,-1.60,8.73,66.94,899.88,7.5,34.47
GT CAPITAL HOLDINGS INC,2,6/30/22,1,1.23,-0.1455,-0.1141,8.92,6.21,108461,1.97,13.6,65.24,924.86,11.54,33.91
GT CAPITAL HOLDINGS INC,3,9/30/22,0,1.13,-0.0673,-0.1501,4.32,7.09,115299,0.00,0,70.64,931.44,5.68,36.07
GT CAPITAL HOLDINGS INC,4,12/29/22,0,1.33,0.1438,0.0467,10.4,8.39,116494,-13.54,15.25,65.8,975.62,10.61,34.03
GT CAPITAL HOLDINGS INC,1,3/31/23,1,1.32,-0.0102,0.1862,14.97,12,101934,-2.87,22.48,56.97,"1,027.64",13.97,30.91
GT CAPITAL HOLDINGS INC,2,6/30/23,1,1.49,-0.0049,-0.0019,7.15,11.45,101708,0.00,0,53.26,"1,071.00",9.63,29.35
INTL CONTAINER TERM SVCS INC,4,12/29/16,1,2.64,-0.1034,-0.0656,36.37,24.2,1131.38,-1.79,11,76.66,0.83,17.41,33.7
INTL CONTAINER TERM SVCS INC,1,3/31/17,1,2.72,0.0689,0.2495,32.08,25.06,1189.11,0.37,10.16,81.91,0.8,16.93,34.94
INTL CONTAINER TERM SVCS INC,2,6/30/17,1,2.77,0.0727,0.0879,31.52,24.13,1149.8,0.00,0,79.11,0.84,14.52,34.32
INTL CONTAINER TERM SVCS INC,3,9/29/17,1,2.66,0.0419,0.0634,30.34,24.28,1215.08,0.00,0,79.81,0.84,10.06,34.19
INTL CONTAINER TERM SVCS INC,4,12/29/17,0,2.71,0.0474,0.0144,39.35,22.19,806.64,0.00,0,62.87,1.05,12.57,30.49
INTL CONTAINER TERM SVCS INC,1,3/28/18,1,2.31,-0.0676,-0.0521,36.76,24.66,909.9,0.00,0,59.89,1,14.67,28.59
INTL CONTAINER TERM SVCS INC,2,6/29/18,0,2.78,-0.0985,-0.227,39.17,25.7,891.46,0.00,0,58.17,1.02,15.31,28.07
INTL CONTAINER TERM SVCS INC,3,9/28/18,1,2.88,0.0116,0.2173,37.63,30.34,1997.12,0.00,0,125.48,0.89,16.99,44.82
INTL CONTAINER TERM SVCS INC,4,12/28/18,1,3.55,0.026,0.0627,43.03,28.59,2414.97,0.00,0,135.7,0.9,18.87,47.67
