,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset
ROBINSONS RETAIL HOLDINGS IN,3,9/30/22,1,0.84,-0.0673,0.0853,5.37,12.05,16665.67,0.00,0,44.97,45.94,2.78,24.33
ROBINSONS RETAIL HOLDINGS IN,4,12/29/22,0,0.83,0.1438,-0.0155,4.09,12.15,37013.3,-9.04,11.19,60.79,51.21,1.2,31.21
ROBINSONS RETAIL HOLDINGS IN,1,3/31/23,1,0.84,-0.0102,0.0009,4.43,12.36,24302,-6.40,11.08,41.1,47.58,2.72,21.32
ROBINSONS RETAIL HOLDINGS IN,2,6/30/23,1,0.73,-0.0049,0.0148,4.78,12.14,36638.79,0.00,0,57.31,48.24,1.66,30.63
SAN MIGUEL CORP,4,12/29/16,1,1.02,-0.1034,0.1311,14.05,38.78,486701,13.33,42.15,154.91,115.1,3.19,52.26
SAN MIGUEL CORP,1,3/31/17,1,0.97,0.0689,0.1268,13.12,37.93,474017,0.21,42.37,157.71,117.13,3.4,52.83
SAN MIGUEL CORP,2,6/30/17,0,0.87,0.0727,0,14.4,39.36,479489,0.00,0,150.05,119.48,3.89,51.24
SAN MIGUEL CORP,3,9/29/17,0,0.94,0.0419,-0.0548,12.35,39.67,497810,0.00,0,149.5,121.78,3.2,51.05
SAN MIGUEL CORP,4,12/29/17,1,1.21,0.0474,0.1353,13.95,40.95,638741,0.00,0,179.77,123.23,3.13,55.37
SAN MIGUEL CORP,1,3/28/18,1,1.38,-0.0676,0.2007,12.97,43.29,683345,0.00,0,184.64,124.5,2.06,56.22
SAN MIGUEL CORP,2,6/29/18,1,1.67,-0.0985,0.0299,11.84,43.31,718950,0.00,0,193.45,125.35,2.7,56.61
SAN MIGUEL CORP,3,9/28/18,1,1.41,0.0116,0.2283,7.22,37.91,700207,0.00,0,184.34,137.4,1.22,56.29
SAN MIGUEL CORP,4,12/28/18,0,1.57,0.026,-0.1327,12.4,37,714466,0.00,0,186.8,138.71,2.28,56.2
SAN MIGUEL CORP,1,3/29/19,1,1.56,0.0609,0.1837,10.25,34.25,681699,0.00,0,168.58,139.41,2.91,54.82
SAN MIGUEL CORP,2,6/28/19,0,1.58,0.0099,0.0069,12.5,34.31,692378,-30.56,26.36,169.41,138.24,2.81,55.42
SAN MIGUEL CORP,3,9/30/19,1,1.5,-0.0276,-0.0211,10.3,35.61,707694,0.00,0,173.15,135.19,0.41,54.71
SAN MIGUEL CORP,4,12/27/19,0,1.21,0.0047,-0.0437,5.48,29.82,722364,-101.71,44.16,191.05,132.32,-0.6,57.95
SAN MIGUEL CORP,1,3/31/20,0,1.14,-0.3191,-0.4421,2.31,23.25,738897,-59.32,30.63,195.27,124.13,-4.55,58.49
SAN MIGUEL CORP,2,6/30/20,0,1.19,0.1666,0.0929,14.88,21.06,734543,-49.64,29.02,179.23,134.28,4.02,56.63
SAN MIGUEL CORP,3,9/30/20,1,1.27,-0.0553,-0.011,15.42,21.43,676922,0.00,0,156.41,144.59,1.75,53.58
SAN MIGUEL CORP,4,12/29/20,1,1.3,0.2175,0.2952,16.01,27.91,688250,15.99,32.41,159.19,144.41,4.62,54.04
SAN MIGUEL CORP,1,3/31/21,1,1.2,-0.0976,-0.071,13.78,36.67,670243,-15.99,41.97,144.94,144.83,1.81,52.1
SAN MIGUEL CORP,2,6/30/21,0,1.16,0.0712,-0.0126,11.11,37.12,737663,-13.19,43.01,155.49,132.2,-0.46,53.13
SAN MIGUEL CORP,3,9/30/21,0,1.13,0.0074,-0.0221,11.75,36.88,798815,-18.03,44.5,161.43,132.74,0.67,53.6
SAN MIGUEL CORP,4,12/31/21,0,1.05,0.0244,0,10.25,36.8,820100,-34.24,46.58,162.96,134.71,2,53.55
SAN MIGUEL CORP,1,3/31/22,0,1.2,0.0113,-0.0426,11.59,42.36,904395,-40.40,54.06,176.86,130.61,-1.95,54.34
SAN MIGUEL CORP,2,6/30/22,1,1.16,-0.1455,-0.0191,4.68,42.96,1008243,-85.25,56.12,199.21,124.19,-3.43,57.78
SAN MIGUEL CORP,3,9/30/22,0,0.96,-0.0673,-0.0922,6.6,41.61,1111280,0.00,0,223.95,115.19,0.54,59.84
SAN MIGUEL CORP,4,12/29/22,0,1.1,0.1438,-0.051,10.11,41.85,1104607,-68.79,49.22,208.81,117.55,2.55,58.19
SAN MIGUEL CORP,1,3/31/23,1,1.08,-0.0102,0.1512,10.3,39.59,1140560,-64.11,45.65,221.44,112.68,-2.39,59.25
SAN MIGUEL CORP,2,6/30/23,0,1.1,-0.0049,-0.015,10.71,47.61,1201794,0.00,0,231.13,115.78,-0.16,60.21
SECURITY BANK CORP,4,12/29/16,0,2.64,-0.1034,-0.2136,50.43,11.97,98668.73,18.61,6.12,233,132.18,45.41,31.89
SECURITY BANK CORP,1,3/31/17,0,2.56,0.0689,0.0632,49.06,10.51,143115.51,21.68,6.2,274.51,133.94,41.47,35.8
SECURITY BANK CORP,2,6/30/17,1,2.75,0.0727,0.0743,43.1,10.72,122539.8,0.00,0,238.4,136.81,38.04,30.9
SECURITY BANK CORP,3,9/29/17,1,2.69,0.0419,0.1207,48.41,11.81,80143.09,0.00,0,149.61,139.31,39.83,22.65
SECURITY BANK CORP,4,12/29/17,0,2.76,0.0474,0.0337,47.14,11.47,84109.31,0.00,0,145.38,140.19,37.25,21.88
SECURITY BANK CORP,1,3/28/18,1,2.54,-0.0676,-0.0453,42.08,10.95,77685.12,0.00,0,141.08,142.28,32.69,20.96
SECURITY BANK CORP,2,6/29/18,0,1.93,-0.0985,-0.1667,45.35,11.16,55458.34,0.00,0,123.78,144.94,35.46,18.46
SECURITY BANK CORP,3,9/28/18,0,1.89,0.0116,-0.23,39.69,10.32,60541.08,0.00,0,132.72,145.15,30.29,18.95
SECURITY BANK CORP,4,12/28/18,0,1.99,0.026,0.0065,42.38,10.41,88416.89,0.00,0,145.91,147.61,31.61,21.28
SECURITY BANK CORP,1,3/29/19,1,1.93,0.0609,0.1161,41.87,10.88,106799.21,0.00,0,159.14,151.86,32.76,23.47
SECURITY BANK CORP,2,6/28/19,0,2.3,0.0099,-0.0173,35.01,10.79,105118.52,-43.36,8.25,147.36,156.2,31.41,21.52
SECURITY BANK CORP,3,9/30/19,1,2.27,-0.0276,0.1588,29.18,10.89,66369.72,0.00,0,120.65,156.83,24.58,18
SECURITY BANK CORP,4,12/27/19,0,1.81,0.0047,-0.0102,17.56,9.97,44039.95,29.13,14.28,105.04,159.05,21.89,16.06
SECURITY BANK CORP,1,3/31/20,0,1.5,-0.3191,-0.4513,18.16,8.72,-25081.62,120.67,13.56,58.83,168.48,21.96,10.1
SECURITY BANK CORP,2,6/30/20,0,1.41,0.1666,-0.0374,-6.14,5.45,-7651.97,160.79,9.48,49.88,164.49,6.99,9.51
SECURITY BANK CORP,3,9/30/20,0,1.69,-0.0553,-0.1053,7.12,3.69,-21642.71,0.00,0,54.93,163.5,7.59,10.38
SECURITY BANK CORP,4,12/29/20,1,1.69,0.2175,0.4542,39.36,4.52,-69254.44,74.07,5.98,46.25,160.63,19.51,7.81
SECURITY BANK CORP,1,3/31/21,1,1.54,-0.0976,-0.097,24.02,4.26,-99427.08,41.92,5.99,30.56,163.94,16.29,5.37
SECURITY BANK CORP,2,6/30/21,0,1.37,0.0712,-0.0248,23.61,6.65,-107509.24,40.61,10.36,25.68,165.49,19.65,4.58
SECURITY BANK CORP,3,9/30/21,0,1.48,0.0074,-0.1017,28.78,8.2,-87698.1,43.66,11.35,26.65,165.84,22.81,4.76
SECURITY BANK CORP,4,12/31/21,1,1.32,0.0244,0.1226,40.43,8.68,-39016.65,33.07,12.86,26.62,162.42,29.76,4.61
SECURITY BANK CORP,1,3/31/22,0,1.3,0.0113,-0.084,45.33,10.28,-40145.51,-2.60,18.48,36.28,164.72,36.78,5.89
SECURITY BANK CORP,2,6/30/22,0,1.22,-0.1455,-0.1615,32.16,11.09,-30894.27,-46.39,22.62,53.8,164.85,23.7,8.37
SECURITY BANK CORP,3,9/30/22,0,1.15,-0.0673,-0.1138,11.2,9.76,-34211.78,0.00,0,71.19,166.88,21.02,10.64
SECURITY BANK CORP,4,12/29/22,0,1.2,0.1438,0.0741,31.63,9.23,32192.48,-111.29,16.71,88,170.72,24.54,14.27
SECURITY BANK CORP,1,3/31/23,1,1.09,-0.0102,0.0575,33.16,8.41,46681.49,-103.89,17.01,84.66,173.08,24.49,13.88
SECURITY BANK CORP,2,6/30/23,0,1.06,-0.0049,-0.0924,29.61,8.24,26840.96,0.00,0,69.46,175.78,26.05,11.3
SEMIRARA MINING AND POWER CO,4,12/29/16,1,1.2,-0.1034,0.1414,47.64,42.92,7997.37,3.35,9.34,45.55,9.05,42.73,25.18
SEMIRARA MINING AND POWER CO,1,3/31/17,1,1.22,0.0689,0.1354,40.48,44.99,11630.93,5.01,8.67,46.07,8.64,36.31,25.56
SEMIRARA MINING AND POWER CO,2,6/30/17,1,1.36,0.0727,0.0874,35.44,46.5,14618.54,0.00,0,51.67,8.26,30.41,27.57
SEMIRARA MINING AND POWER CO,3,9/29/17,0,1.12,0.0419,-0.709,19.53,42.81,9502.84,0.00,0,47.84,8.84,22.18,26.28
SEMIRARA MINING AND POWER CO,4,12/29/17,0,1,0.0474,-0.212,42.88,40.69,12836.24,0.00,0,52.86,8.64,40.02,28.28
SEMIRARA MINING AND POWER CO,1,3/28/18,0,0.85,-0.0676,-0.1766,32.38,40.47,13370.43,0.00,0,39.1,9.5,28.42,23.43
SEMIRARA MINING AND POWER CO,2,6/29/18,1,0.74,-0.0985,0,17.5,32.84,14821.17,0.00,0,41.96,9.69,9.91,25.6
SEMIRARA MINING AND POWER CO,3,9/28/18,0,0.62,0.0116,-0.1188,28.66,34.4,18566.08,0.00,0,51.26,9.39,28.88,28.81
SEMIRARA MINING AND POWER CO,4,12/28/18,0,0.56,0.026,-0.1367,24.81,29.44,15713.37,0.00,0,51.11,8.69,23.94,26.44
SEMIRARA MINING AND POWER CO,1,3/29/19,0,0.58,0.0609,-0.0477,27.5,26.18,16689.82,0.00,0,51.74,9.51,26.2,28.23
SEMIRARA MINING AND POWER CO,2,6/28/19,1,0.59,0.0099,0.0547,20.05,27.46,14355.56,7.26,11.86,46.11,10.07,23.99,26.85
SEMIRARA MINING AND POWER CO,3,9/30/19,1,0.57,-0.0276,-0.0151,17.9,24.08,12247.49,0.00,0,42.28,10.41,10.76,25.9
SEMIRARA MINING AND POWER CO,4,12/27/19,0,0.41,0.0047,-0.0351,16.76,23.2,17754.42,17.55,19.11,53.54,9.44,16.39,29.85
SEMIRARA MINING AND POWER CO,1,3/31/20,0,0.41,-0.3191,-0.5,25.82,16.13,17918.12,8.75,12.2,52.69,9.68,19.43,30.57
SEMIRARA MINING AND POWER CO,2,6/30/20,0,0.34,0.1666,0.1527,13.11,12.67,16169.63,10.49,12.64,49.26,9.86,10.4,29.05
SEMIRARA MINING AND POWER CO,3,9/30/20,0,0.38,-0.0553,-0.2129,5.26,9.25,11892.5,0.00,0,47.36,9.92,3.55,28.08
SEMIRARA MINING AND POWER CO,4,12/29/20,1,0.42,0.2175,0.3808,26.1,13.11,11787.67,7.29,9,44.01,9.22,24.86,24.07
SEMIRARA MINING AND POWER CO,1,3/31/21,1,0.43,-0.0976,-0.0145,29.89,19.49,9408.01,16.11,13.12,39.22,10.15,26.93,23.65
SEMIRARA MINING AND POWER CO,2,6/30/21,1,0.6,0.0712,0.0854,28.11,25.17,3905.66,11.39,12.56,33.66,11.09,28.67,21.46
SEMIRARA MINING AND POWER CO,3,9/30/21,1,0.59,0.0074,0.4247,42.75,38.54,6941.96,19.36,18.64,33.23,10.73,41.03,21.15
SEMIRARA MINING AND POWER CO,4,12/31/21,0,0.82,0.0244,0.0167,52.53,63.71,-4579.19,11.40,22.81,26,12.77,51.71,15.8
SEMIRARA MINING AND POWER CO,1,3/31/22,1,1.1,0.0113,0.4379,45.41,66.13,-12624.95,11.88,24.05,20.07,15.3,46.96,14.28
SEMIRARA MINING AND POWER CO,2,6/30/22,1,1.3,-0.1455,0.1401,47.09,68.33,-21143.52,10.69,25.22,15.96,17.69,47.97,12.02
SEMIRARA MINING AND POWER CO,3,9/30/22,1,1.01,-0.0673,0.1143,32.14,75.41,-9789.67,0.00,0,15.98,15.12,21.8,11.79
SEMIRARA MINING AND POWER CO,4,12/29/22,0,0.94,0.1438,-0.1154,48.17,64.14,-15529.49,19.04,26.28,16.42,13.74,43.6,9.86
SEMIRARA MINING AND POWER CO,1,3/31/23,0,0.81,-0.0102,-0.0623,44.3,54.31,-18609.94,28.50,30.49,13,16.08,42.68,9.72
SEMIRARA MINING AND POWER CO,2,6/30/23,0,1.03,-0.0049,-0.1345,25.28,39.76,-18968.13,0.00,0,10.9,16.94,29.25,8.57
SM INVESTMENTS CORP,4,12/29/16,1,10.81,-0.1034,-0.0275,16.92,17.72,270466.48,-5.25,5.81,80.33,257.2,9.74,38.34
SM INVESTMENTS CORP,1,3/31/17,0,11.52,0.0689,0.0641,16.92,18.32,278280.49,-5.77,5.69,84.39,256.64,9.9,39.43
SM INVESTMENTS CORP,2,6/30/17,1,12.12,0.0727,0.1521,15.41,18.53,281924.9,0.00,0,83.55,264.44,8.52,39.21
SM INVESTMENTS CORP,3,9/29/17,1,12.85,0.0419,0.0996,14.4,18.69,268121.96,0.00,0,78.67,272.4,7.68,37.19
SM INVESTMENTS CORP,4,12/29/17,1,12.81,0.0474,0.1212,17.73,18.89,289421.49,0.00,0,77.72,278.56,9.64,37.24
SM INVESTMENTS CORP,1,3/28/18,0,13.08,-0.0676,-0.0737,17.32,19.68,308780.87,0.00,0,80.39,276.58,9.54,37.81
SM INVESTMENTS CORP,2,6/29/18,1,13.35,-0.0985,-0.0458,15.57,19.67,318269.52,0.00,0,81.45,284.03,8.5,38.05
SM INVESTMENTS CORP,3,9/28/18,1,13.22,0.0116,0.0331,13.98,19.67,280765.66,0.00,0,78.39,293.37,7.95,36.39
SM INVESTMENTS CORP,4,12/28/18,0,12.68,0.026,0.0149,17.86,19.64,315604.07,0.00,0,78.26,306.37,10.76,36.88
SM INVESTMENTS CORP,1,3/29/19,0,13,0.0609,0.018,17.9,20.56,326812.5,0.00,0,80.78,306.58,10.78,37.19
SM INVESTMENTS CORP,2,6/28/19,1,13.4,0.0099,0.0375,15.22,20.39,338165.52,1.30,6.29,79.81,314.77,9.45,37.19
SM INVESTMENTS CORP,3,9/30/19,1,14.35,-0.0276,0.0021,16.69,21.37,328036.68,0.00,0,75.4,317.64,7.91,35.33
SM INVESTMENTS CORP,4,12/27/19,1,16.29,0.0047,0.0742,14.67,20.21,354450.49,0.22,7.69,79.02,316.3,8.86,36.83
SM INVESTMENTS CORP,1,3/31/20,1,16.11,-0.3191,-0.2157,6.21,15.92,369902.89,0.00,5.3,77.96,317.91,-2.58,36.36
SM INVESTMENTS CORP,2,6/30/20,0,15.91,0.1666,0.1479,11.91,13.9,373494.47,0.89,5.04,76.98,323.65,10.02,36.17
SM INVESTMENTS CORP,3,9/30/20,0,15.63,-0.0553,-0.0628,10.43,10.39,367668.91,0.00,0,78.95,335.25,7.31,36.41
SM INVESTMENTS CORP,4,12/29/20,0,15.8,0.2175,0.192,14.31,9.72,386221.34,-0.72,3.32,77.71,340.39,10.84,36.58
SM INVESTMENTS CORP,1,3/31/21,1,15.37,-0.0976,-0.0848,13.6,11.37,412684.02,-1.41,3.78,79.43,347.19,12.32,37.26
SM INVESTMENTS CORP,2,6/30/21,0,15.06,0.0712,0.0411,9.02,10.67,431935.76,-3.52,3.65,82.39,353.81,8.43,38.32
SM INVESTMENTS CORP,3,9/30/21,0,13.89,0.0074,-0.0095,13.77,12.25,416520.18,-1.97,4.59,81.17,371.58,8.94,37.14
SM INVESTMENTS CORP,4,12/31/21,0,12.98,0.0244,-0.0475,15.4,13.09,415987.13,-2.93,5.11,81.26,370.2,12.25,37.63
SM INVESTMENTS CORP,1,3/31/22,0,13.1,0.0113,-0.0361,15.01,14.47,442611.17,-5.41,6.62,88.23,368.78,12.2,39.58
SM INVESTMENTS CORP,2,6/30/22,1,12.85,-0.1455,-0.1397,16,16.78,447513.07,-2.78,8.63,85.13,387.26,11.7,38.92
SM INVESTMENTS CORP,3,9/30/22,0,13.99,-0.0673,-0.0729,16.42,17.69,425747.97,0.00,0,78.17,406.61,12.14,36.51
SM INVESTMENTS CORP,4,12/29/22,1,13.73,0.1438,0.2414,16.94,18.54,442752.47,3.12,8.21,71.69,419.81,13.51,34.99
SM INVESTMENTS CORP,1,3/31/23,0,14.24,-0.0102,-0.0122,16.78,19.51,454912.32,3.45,8.3,75.7,422.61,14.07,36.1
SM INVESTMENTS CORP,2,6/30/23,1,13.23,-0.0049,0.0405,17.56,19.44,453665.1,0.00,0,72.27,438.43,13.55,35.07
SM PRIME HOLDINGS INC,4,12/29/16,1,7.39,-0.1034,0.0071,46.65,15.91,141921.28,-1.63,4.47,69.94,8.33,32.16,35.01
SM PRIME HOLDINGS INC,1,3/31/17,0,8.08,0.0689,-0.0018,46.38,16.3,149728.27,-2.82,3.94,77.49,8.34,34.26,37.23
SM PRIME HOLDINGS INC,2,6/30/17,1,8.07,0.0727,0.1661,46.76,16.74,148735.73,0.00,0,75.32,8.59,26.4,36.38
SM PRIME HOLDINGS INC,3,9/29/17,1,8.3,0.0419,0.0439,39.99,16.57,147854.01,0.00,0,73.65,8.97,28.69,35.96
SM PRIME HOLDINGS INC,4,12/29/17,1,8.03,0.0474,0.0885,47.5,16.68,155010.41,0.00,0,75.23,9.18,32.53,36.14
SM PRIME HOLDINGS INC,1,3/28/18,0,9.45,-0.0676,-0.1013,46.45,17.48,168238.41,0.00,0,78.67,9.05,34.17,36.83
SM PRIME HOLDINGS INC,2,6/29/18,1,9.39,-0.0985,0.0668,46.58,17.63,176214.41,0.00,0,82.92,9.25,27.5,37.81
SM PRIME HOLDINGS INC,3,9/28/18,0,9.07,0.0116,0.0056,45.45,18.09,183405.5,0.00,0,79.84,9.53,29.58,36.88
SM PRIME HOLDINGS INC,4,12/28/18,0,9.52,0.026,-0.0097,48.93,18.2,209469.89,0.00,0,86.04,9.93,33.14,38.71
SM PRIME HOLDINGS INC,1,3/29/19,1,8.75,0.0609,0.1145,47.36,19.22,202438.99,0.00,0,84.66,9.84,34.43,37.77
SM PRIME HOLDINGS INC,2,6/28/19,0,9.03,0.0099,-0.0702,48.48,19.53,203549.33,-0.08,5.07,84.38,10.05,29.64,37.48
SM PRIME HOLDINGS INC,3,9/30/19,1,10.18,-0.0276,0.0027,47.15,19.68,213908.93,0.00,0,82.37,10.42,31.52,37.34
SM PRIME HOLDINGS INC,4,12/27/19,1,9.95,0.0047,0.1317,46.07,18.92,220019.24,-3.17,6.78,88.5,10.42,32.26,38.89
SM PRIME HOLDINGS INC,1,3/31/20,0,9.61,-0.3191,-0.3254,24.98,15.63,231597.92,-1.05,4.96,83.72,10.37,11.81,37.19
SM PRIME HOLDINGS INC,2,6/30/20,0,9.34,0.1666,0.1215,36.55,12.92,240414.15,-1.72,4.51,86.6,10.47,23.15,37.97
SM PRIME HOLDINGS INC,3,9/30/20,0,10.09,-0.0553,-0.0769,30.68,9.53,252315.55,0.00,0,91.26,10.71,17.14,39.25
SM PRIME HOLDINGS INC,4,12/29/20,1,10.13,0.2175,0.3095,41.68,8.39,257796.64,-1.11,2.56,89.09,10.92,31.14,38.76
SM PRIME HOLDINGS INC,1,3/31/21,1,9.87,-0.0976,-0.0909,36.49,9.3,271103.21,-3.69,2.73,93.01,11.07,25.47,39.83
SM PRIME HOLDINGS INC,2,6/30/21,0,8.76,0.0712,0.0429,34.94,8.96,285463.33,-4.84,2.97,97.29,11.24,25.27,41.14
SM PRIME HOLDINGS INC,3,9/30/21,0,8.78,0.0074,-0.1027,42.55,10.09,285814.69,-3.35,3.31,97.54,11.53,24.19,40.54
SM PRIME HOLDINGS INC,4,12/31/21,1,9.51,0.0244,0.0351,44.74,10.47,264300.49,-4.56,3.15,92.57,11.86,31.04,38.6
SM PRIME HOLDINGS INC,1,3/31/22,1,10.77,0.0113,0.1165,47.51,11.38,319555.54,-6.38,3.57,111.01,11.88,29.81,44.26
SM PRIME HOLDINGS INC,2,6/30/22,1,9.38,-0.1455,-0.0343,48.58,13.44,322898.22,-5.65,5.24,108.24,12.21,28.92,43.84
SM PRIME HOLDINGS INC,3,9/30/22,0,9.71,-0.0673,-0.1765,47.2,14.31,323275.36,0.00,0,100.2,12.58,25.19,41.85
SM PRIME HOLDINGS INC,4,12/29/22,1,8.91,0.1438,0.1794,48.41,14.81,332135.51,-0.62,5.6,95.1,12.95,32.9,40.66
SM PRIME HOLDINGS INC,1,3/31/23,0,8.89,-0.0102,-0.0761,48.44,15.98,342554.89,0.58,6.06,101.57,13.04,32.04,42.04
SM PRIME HOLDINGS INC,2,6/30/23,1,8.36,-0.0049,0.0015,47.54,16.15,344773.92,0.00,0,97.81,13.43,32.62,40.9
UNIVERSAL ROBINA CORP,4,12/29/16,1,4.54,-0.1034,-0.0815,13.13,22.01,29852.63,0.32,4.39,56.83,33.57,10.98,29.6
UNIVERSAL ROBINA CORP,1,3/31/17,0,4.26,0.0689,0,11.91,21.35,31718.09,-0.53,4.21,56.25,34.31,9.58,29.51
UNIVERSAL ROBINA CORP,2,6/30/17,0,3.83,0.0727,-0.0037,9.97,19.48,28249.06,0.00,0,51.83,35.19,6.19,27.85
UNIVERSAL ROBINA CORP,3,9/29/17,0,3.57,0.0419,-0.062,12.84,19.11,23437.37,0.00,0,47,36.93,8.21,26
UNIVERSAL ROBINA CORP,4,12/29/17,0,3.87,0.0474,-0.0118,11.27,19.13,31545.41,0.00,0,58.59,34.63,9.63,29.44
UNIVERSAL ROBINA CORP,1,3/28/18,1,3.39,-0.0676,0.0066,10.15,18.2,30320.19,0.00,0,54.78,36.12,5.67,29.08
UNIVERSAL ROBINA CORP,2,6/29/18,0,4,-0.0985,-0.2039,10.69,17.83,27361.75,0.00,0,51.23,37.42,6.45,27.7
UNIVERSAL ROBINA CORP,3,9/28/18,1,3.43,0.0116,0.1942,10.23,16.2,26494.87,0.00,0,47.55,38.02,7.45,26.29
UNIVERSAL ROBINA CORP,4,12/28/18,0,3.87,0.026,-0.1211,11.86,17.78,30930.47,0.00,0,51.79,36.18,9.12,26.83
UNIVERSAL ROBINA CORP,1,3/29/19,1,4.18,0.0609,0.1969,10.89,17.51,28725.98,0.00,0,48.07,37.57,6.2,25.6
UNIVERSAL ROBINA CORP,2,6/28/19,1,4.04,0.0099,0.0921,10.41,16.95,29157.5,2.32,4.17,47.53,39.28,5.7,26.09
UNIVERSAL ROBINA CORP,3,9/30/19,0,3.74,-0.0276,-0.0602,11.57,17.28,25803.78,0.00,0,49.07,40.81,8.07,27.69
UNIVERSAL ROBINA CORP,4,12/27/19,0,3.88,0.0047,-0.0705,11.86,18.05,20820.82,1.19,6.56,46.14,39.37,5.94,25.39
UNIVERSAL ROBINA CORP,1,3/31/20,1,4.18,-0.3191,-0.2828,12.58,18.21,20903.06,3.67,5.45,42.34,40.29,10.43,24.07
UNIVERSAL ROBINA CORP,2,6/30/20,1,4.54,0.1666,0.25,11.35,17.98,27429.63,3.13,5.38,45.57,40.92,6.09,25.63
UNIVERSAL ROBINA CORP,3,9/30/20,1,4.26,-0.0553,0.0308,14.83,15.25,28847.08,0.00,0,49.23,41.86,24.27,27.32
UNIVERSAL ROBINA CORP,4,12/29/20,0,4.1,0.2175,0.1381,13.14,15.11,28016.24,2.78,4.7,46.12,43.45,10.23,26.32
UNIVERSAL ROBINA CORP,1,3/31/21,0,4.17,-0.0976,-0.1279,11.93,13.91,32699.91,-0.24,4.06,48.51,44.02,17.71,26.74
UNIVERSAL ROBINA CORP,2,6/30/21,1,3.87,0.0712,0.0865,9.03,12.63,4753.25,0.67,3.93,18.77,43.63,8.85,10.24
UNIVERSAL ROBINA CORP,3,9/30/21,0,3.54,0.0074,-0.0595,9.5,12.13,924.07,1.33,4.33,16.76,49.71,49.7,11.99
UNIVERSAL ROBINA CORP,4,12/31/21,0,3.24,0.0244,-0.0581,11.37,12.43,3050.63,1.90,4.67,18.83,47.64,9.71,12.57
UNIVERSAL ROBINA CORP,1,3/31/22,0,3.49,0.0113,-0.0547,9.37,12.12,10158.52,3.83,5.06,22.39,48.94,7.72,15.24
UNIVERSAL ROBINA CORP,2,6/30/22,1,3.79,-0.1455,-0.0826,9.24,12.82,8228.51,3.14,5.29,20.73,50.56,8.56,14.07
UNIVERSAL ROBINA CORP,3,9/30/22,1,3.96,-0.0673,0.027,10.58,13.55,11408.83,0.00,0,21.98,52.95,10.97,15
UNIVERSAL ROBINA CORP,4,12/29/22,1,4.17,0.1438,0.193,11.7,14.48,8043.63,2.01,5.04,20.01,52.38,8.58,12.66
UNIVERSAL ROBINA CORP,1,3/31/23,1,3.97,-0.0102,0.0588,10.05,14.64,10246.4,2.21,5.48,19.12,53.85,8.37,12.73
UNIVERSAL ROBINA CORP,2,6/30/23,0,3.5,-0.0049,-0.0451,10.37,15.11,14879.45,0.00,0,23.35,53.07,7.89,15.43